Major Subjects in Matric,Major in Intermediate,Intermediate Percentage,Favorite Subject,Area of Interest,Your Current Domain
1,0,2,0,1,1.0
3,0,1,4,11,2.0
1,0,2,6,1,1.0
2,1,1,2,10,4.0
2,1,1,2,10,10.0
3,0,1,5,10,4.0
2,3,0,4,0,2.0
2,3,2,4,6,0.0
2,1,1,5,6,5.0
2,2,1,2,10,1.0
1,2,2,0,1,1.0
1,0,1,0,8,9.0
2,1,1,6,8,5.0
3,2,1,5,6,7.0
0,3,0,4,11,0.0
2,1,2,2,2,4.0
0,3,0,5,5,6.0
2,4,0,5,0,0.0
2,4,1,2,3,4.0
1,1,1,2,10,10.0
3,0,2,2,10,10.0
2,3,2,4,11,0.0
0,3,1,4,0,0.0
0,3,1,5,6,10.0
1,1,1,5,7,8.0
1,1,2,5,2,8.0
3,3,1,5,8,9.0
3,1,2,5,6,7.0
0,3,2,4,6,2.0
2,1,2,2,3,4.0
3,0,1,5,2,3.0
3,1,2,2,10,10.0
0,3,2,4,11,2.0
2,4,1,2,6,4.0
3,0,1,0,8,1.0
1,4,1,4,11,2.0
2,1,1,2,3,4.0
3,0,1,5,6,7.0
2,2,2,0,1,1.0
0,3,1,4,6,2.0
1,3,2,4,0,2.0
1,2,2,0,1,1.0
0,3,1,5,2,8.0
2,1,1,3,5,6.0
2,4,2,2,3,4.0
3,0,1,6,7,8.0
3,1,2,3,5,6.0
0,3,1,1,10,10.0
0,3,2,4,11,0.0
2,1,2,5,2,3.0
3,1,2,5,2,3.0
1,2,1,0,8,1.0
0,3,2,4,0,2.0
3,0,1,2,3,10.0
2,1,2,2,10,10.0
3,2,2,1,8,9.0
0,4,1,5,6,7.0
1,1,1,6,7,8.0
1,0,1,0,1,1.0
3,1,2,6,2,3.0
2,4,2,2,10,4.0
1,1,1,5,10,10.0
2,1,1,3,10,10.0
3,1,2,1,1,1.0
2,2,2,0,8,9.0
2,4,1,2,3,10.0
3,0,0,2,10,4.0
1,0,2,0,1,1.0
0,3,1,4,0,2.0
3,2,2,0,10,4.0
2,1,2,5,10,10.0
3,0,2,4,0,0.0
2,4,1,3,11,2.0
2,1,1,2,3,4.0
1,2,1,6,8,9.0
1,2,1,0,10,10.0
3,0,1,6,7,8.0
1,2,2,0,1,1.0
3,3,1,4,11,2.0
3,0,1,0,8,1.0
0,3,1,5,0,2.0
3,4,1,0,8,9.0
2,4,1,2,10,7.0
1,3,1,5,5,7.0
1,3,0,3,5,6.0
2,1,1,4,11,0.0
2,4,1,3,11,2.0
1,1,2,4,0,0.0
2,4,0,2,3,4.0
1,1,0,3,11,2.0
1,1,1,3,11,2.0
2,1,2,2,3,4.0
1,2,1,0,8,9.0
1,3,2,4,1,6.0
1,2,2,0,1,9.0
1,1,1,5,4,5.0
3,0,2,3,5,6.0
3,0,2,3,5,6.0
3,0,2,3,5,6.0
1,2,1,0,6,9.0
1,2,2,0,8,9.0
2,1,1,6,8,0.0
2,1,0,5,3,4.0
2,1,1,5,5,6.0
1,1,1,4,0,0.0
1,2,2,6,1,1.0
1,0,0,5,6,9.0
2,0,1,2,8,9.0
1,2,2,0,1,1.0
1,2,2,0,1,1.0
1,2,1,5,8,9.0
1,2,2,0,8,9.0
2,1,0,2,10,10.0
1,2,2,0,1,1.0
0,3,1,5,6,2.0
3,0,1,2,10,4.0
1,2,2,1,11,1.0
1,1,2,5,10,10.0
1,2,1,0,1,1.0
1,2,1,0,1,1.0
0,4,2,2,5,6.0
2,0,0,3,11,6.0
1,1,1,6,6,7.0
1,2,2,0,1,1.0
1,2,1,0,8,9.0
2,4,1,5,6,7.0
2,4,1,2,3,4.0
2,4,1,5,3,4.0
1,1,1,2,3,6.0
1,2,2,0,8,9.0
2,4,2,2,10,10.0
0,3,0,3,8,6.0
1,2,1,0,1,1.0
0,3,0,3,8,9.0
1,2,2,0,1,1.0
3,0,0,6,7,8.0
3,3,1,5,6,7.0
0,4,1,4,0,0.0
1,1,1,5,10,10.0
1,1,2,5,7,10.0
1,2,2,0,1,1.0
1,2,2,0,1,1.0
1,2,1,0,8,9.0
2,4,1,2,3,4.0
2,4,1,2,3,4.0
1,2,2,0,8,9.0
1,2,1,0,1,1.0
2,3,0,4,0,2.0
3,0,1,5,5,6.0
0,3,1,4,0,0.0
2,4,1,2,3,4.0
1,2,2,0,1,1.0
1,2,1,0,8,9.0
